"radio_id","ocup_cod","ocup_label","viviendas"
63570101,1,"Hay personas presentes",337
63570101,2,"No hay personas presentes",34
63570102,1,"Hay personas presentes",400
63570102,2,"No hay personas presentes",21
63570103,1,"Hay personas presentes",449
63570103,2,"No hay personas presentes",42
63570104,1,"Hay personas presentes",533
63570104,2,"No hay personas presentes",20
63570105,1,"Hay personas presentes",419
63570105,2,"No hay personas presentes",30
63570106,1,"Hay personas presentes",303
63570106,2,"No hay personas presentes",18
63570107,1,"Hay personas presentes",257
63570107,2,"No hay personas presentes",47
63570108,1,"Hay personas presentes",432
63570108,2,"No hay personas presentes",25
63570109,1,"Hay personas presentes",320
63570109,2,"No hay personas presentes",31
63570201,1,"Hay personas presentes",392
63570201,2,"No hay personas presentes",11
63570202,1,"Hay personas presentes",364
63570202,2,"No hay personas presentes",53
63570203,1,"Hay personas presentes",389
63570203,2,"No hay personas presentes",67
63570204,1,"Hay personas presentes",221
63570204,2,"No hay personas presentes",19
63570205,1,"Hay personas presentes",324
63570205,2,"No hay personas presentes",55
63570206,1,"Hay personas presentes",348
63570206,2,"No hay personas presentes",9
63570207,1,"Hay personas presentes",246
63570207,2,"No hay personas presentes",18
63570208,1,"Hay personas presentes",260
63570208,2,"No hay personas presentes",10
63570209,1,"Hay personas presentes",419
63570209,2,"No hay personas presentes",44
63570210,1,"Hay personas presentes",306
63570210,2,"No hay personas presentes",20
63570211,1,"Hay personas presentes",208
63570211,2,"No hay personas presentes",23
63570301,1,"Hay personas presentes",411
63570301,2,"No hay personas presentes",67
63570302,1,"Hay personas presentes",136
63570302,2,"No hay personas presentes",41
63570303,1,"Hay personas presentes",235
63570303,2,"No hay personas presentes",131
63570304,1,"Hay personas presentes",315
63570304,2,"No hay personas presentes",33
63570305,1,"Hay personas presentes",317
63570305,2,"No hay personas presentes",95
63570306,1,"Hay personas presentes",210
63570306,2,"No hay personas presentes",23
63570307,1,"Hay personas presentes",372
63570307,2,"No hay personas presentes",112
63570308,1,"Hay personas presentes",414
63570308,2,"No hay personas presentes",92
63570309,1,"Hay personas presentes",256
63570309,2,"No hay personas presentes",44
63570310,1,"Hay personas presentes",385
63570310,2,"No hay personas presentes",45
63570311,1,"Hay personas presentes",223
63570311,2,"No hay personas presentes",29
63570312,1,"Hay personas presentes",169
63570312,2,"No hay personas presentes",119
63570313,1,"Hay personas presentes",211
63570313,2,"No hay personas presentes",48
63570314,1,"Hay personas presentes",222
63570314,2,"No hay personas presentes",22
63570315,1,"Hay personas presentes",226
63570315,2,"No hay personas presentes",26
63570401,1,"Hay personas presentes",291
63570401,2,"No hay personas presentes",71
63570402,1,"Hay personas presentes",228
63570402,2,"No hay personas presentes",167
63570403,1,"Hay personas presentes",253
63570403,2,"No hay personas presentes",260
63570404,1,"Hay personas presentes",178
63570404,2,"No hay personas presentes",77
63570405,1,"Hay personas presentes",204
63570405,2,"No hay personas presentes",73
63570406,1,"Hay personas presentes",222
63570406,2,"No hay personas presentes",38
63570407,1,"Hay personas presentes",219
63570407,2,"No hay personas presentes",92
63570408,1,"Hay personas presentes",372
63570408,2,"No hay personas presentes",61
63570409,1,"Hay personas presentes",332
63570409,2,"No hay personas presentes",62
63570410,1,"Hay personas presentes",154
63570410,2,"No hay personas presentes",114
63570411,1,"Hay personas presentes",139
63570411,2,"No hay personas presentes",136
63570412,1,"Hay personas presentes",122
63570412,2,"No hay personas presentes",87
63570501,1,"Hay personas presentes",443
63570501,2,"No hay personas presentes",53
63570502,1,"Hay personas presentes",365
63570502,2,"No hay personas presentes",41
63570503,1,"Hay personas presentes",272
63570503,2,"No hay personas presentes",29
63570504,1,"Hay personas presentes",310
63570504,2,"No hay personas presentes",23
63570505,1,"Hay personas presentes",215
63570505,2,"No hay personas presentes",22
63570506,1,"Hay personas presentes",261
63570506,2,"No hay personas presentes",48
63570507,1,"Hay personas presentes",219
63570507,2,"No hay personas presentes",24
63570508,1,"Hay personas presentes",234
63570508,2,"No hay personas presentes",12
63570509,1,"Hay personas presentes",397
63570509,2,"No hay personas presentes",41
63570510,1,"Hay personas presentes",376
63570510,2,"No hay personas presentes",81
63570511,1,"Hay personas presentes",239
63570511,2,"No hay personas presentes",99
63570512,1,"Hay personas presentes",298
63570512,2,"No hay personas presentes",95
63570513,1,"Hay personas presentes",188
63570513,2,"No hay personas presentes",60
63570514,1,"Hay personas presentes",197
63570514,2,"No hay personas presentes",138
63570601,1,"Hay personas presentes",387
63570601,2,"No hay personas presentes",6
63570602,1,"Hay personas presentes",301
63570602,2,"No hay personas presentes",5
63570603,1,"Hay personas presentes",273
63570603,2,"No hay personas presentes",9
63570604,1,"Hay personas presentes",403
63570604,2,"No hay personas presentes",20
63570605,1,"Hay personas presentes",312
63570605,2,"No hay personas presentes",9
63570606,1,"Hay personas presentes",268
63570606,2,"No hay personas presentes",20
63570607,1,"Hay personas presentes",380
63570607,2,"No hay personas presentes",55
63570608,1,"Hay personas presentes",363
63570608,2,"No hay personas presentes",51
63570609,1,"Hay personas presentes",448
63570609,2,"No hay personas presentes",26
63570610,1,"Hay personas presentes",370
63570610,2,"No hay personas presentes",14
63570611,1,"Hay personas presentes",313
63570611,2,"No hay personas presentes",33
63570701,1,"Hay personas presentes",311
63570701,2,"No hay personas presentes",22
63570702,1,"Hay personas presentes",381
63570702,2,"No hay personas presentes",30
63570703,1,"Hay personas presentes",339
63570703,2,"No hay personas presentes",26
63570704,1,"Hay personas presentes",439
63570704,2,"No hay personas presentes",16
63570705,1,"Hay personas presentes",476
63570705,2,"No hay personas presentes",10
63570706,1,"Hay personas presentes",422
63570706,2,"No hay personas presentes",11
63570707,1,"Hay personas presentes",328
63570707,2,"No hay personas presentes",16
63570708,1,"Hay personas presentes",228
63570708,2,"No hay personas presentes",7
63570709,1,"Hay personas presentes",471
63570709,2,"No hay personas presentes",11
63570710,1,"Hay personas presentes",296
63570710,2,"No hay personas presentes",4
63570711,1,"Hay personas presentes",291
63570711,2,"No hay personas presentes",24
63570801,1,"Hay personas presentes",438
63570801,2,"No hay personas presentes",31
63570802,1,"Hay personas presentes",349
63570802,2,"No hay personas presentes",49
63570803,1,"Hay personas presentes",217
63570803,2,"No hay personas presentes",9
63570804,1,"Hay personas presentes",327
63570804,2,"No hay personas presentes",4
63570805,1,"Hay personas presentes",329
63570805,2,"No hay personas presentes",2
63570806,1,"Hay personas presentes",302
63570806,2,"No hay personas presentes",6
63570807,1,"Hay personas presentes",373
63570807,2,"No hay personas presentes",37
63570808,1,"Hay personas presentes",271
63570808,2,"No hay personas presentes",34
63570809,1,"Hay personas presentes",365
63570809,2,"No hay personas presentes",16
63570810,1,"Hay personas presentes",392
63570810,2,"No hay personas presentes",37
63570811,1,"Hay personas presentes",388
63570811,2,"No hay personas presentes",19
63570812,1,"Hay personas presentes",421
63570812,2,"No hay personas presentes",29
63570813,1,"Hay personas presentes",240
63570813,2,"No hay personas presentes",6
63570814,1,"Hay personas presentes",184
63570814,2,"No hay personas presentes",8
63570901,1,"Hay personas presentes",331
63570901,2,"No hay personas presentes",5
63570902,1,"Hay personas presentes",329
63570902,2,"No hay personas presentes",14
63570903,1,"Hay personas presentes",316
63570903,2,"No hay personas presentes",4
63570904,1,"Hay personas presentes",362
63570904,2,"No hay personas presentes",6
63570905,1,"Hay personas presentes",411
63570905,2,"No hay personas presentes",15
63570906,1,"Hay personas presentes",452
63570906,2,"No hay personas presentes",16
63570907,1,"Hay personas presentes",339
63570907,2,"No hay personas presentes",6
63570908,1,"Hay personas presentes",327
63570908,2,"No hay personas presentes",9
63570909,1,"Hay personas presentes",359
63570909,2,"No hay personas presentes",28
63570910,1,"Hay personas presentes",451
63570910,2,"No hay personas presentes",13
63570911,1,"Hay personas presentes",307
63570911,2,"No hay personas presentes",22
63570912,1,"Hay personas presentes",459
63570912,2,"No hay personas presentes",6
63570913,1,"Hay personas presentes",368
63570913,2,"No hay personas presentes",15
63570914,1,"Hay personas presentes",220
63570914,2,"No hay personas presentes",8
63571001,1,"Hay personas presentes",270
63571001,2,"No hay personas presentes",3
63571002,1,"Hay personas presentes",249
63571002,2,"No hay personas presentes",46
63571003,1,"Hay personas presentes",370
63571003,2,"No hay personas presentes",6
63571004,1,"Hay personas presentes",152
63571004,2,"No hay personas presentes",13
63571005,1,"Hay personas presentes",394
63571005,2,"No hay personas presentes",2
63571006,1,"Hay personas presentes",258
63571006,2,"No hay personas presentes",10
63571007,1,"Hay personas presentes",243
63571007,2,"No hay personas presentes",6
63571008,1,"Hay personas presentes",397
63571008,2,"No hay personas presentes",2
63571009,1,"Hay personas presentes",158
63571010,1,"Hay personas presentes",296
63571010,2,"No hay personas presentes",19
63571011,1,"Hay personas presentes",320
63571011,2,"No hay personas presentes",2
63571012,1,"Hay personas presentes",258
63571012,2,"No hay personas presentes",4
63571013,1,"Hay personas presentes",198
63571013,2,"No hay personas presentes",34
63571014,1,"Hay personas presentes",206
63571014,2,"No hay personas presentes",4
63571015,1,"Hay personas presentes",194
63571015,2,"No hay personas presentes",7
63571016,1,"Hay personas presentes",210
63571016,2,"No hay personas presentes",10
63571101,1,"Hay personas presentes",196
63571101,2,"No hay personas presentes",26
63571102,1,"Hay personas presentes",370
63571102,2,"No hay personas presentes",32
63571103,1,"Hay personas presentes",304
63571103,2,"No hay personas presentes",3
63571104,1,"Hay personas presentes",276
63571104,2,"No hay personas presentes",4
63571105,1,"Hay personas presentes",410
63571105,2,"No hay personas presentes",9
63571106,1,"Hay personas presentes",188
63571106,2,"No hay personas presentes",1
63571107,1,"Hay personas presentes",312
63571107,2,"No hay personas presentes",10
63571108,1,"Hay personas presentes",262
63571108,2,"No hay personas presentes",13
63571109,1,"Hay personas presentes",238
63571109,2,"No hay personas presentes",11
63571110,1,"Hay personas presentes",287
63571110,2,"No hay personas presentes",12
63571111,1,"Hay personas presentes",329
63571111,2,"No hay personas presentes",25
63571112,1,"Hay personas presentes",353
63571112,2,"No hay personas presentes",43
63571113,1,"Hay personas presentes",164
63571113,2,"No hay personas presentes",29
63571114,1,"Hay personas presentes",305
63571114,2,"No hay personas presentes",8
63571115,1,"Hay personas presentes",185
63571115,2,"No hay personas presentes",6
63571201,1,"Hay personas presentes",235
63571202,1,"Hay personas presentes",237
63571202,2,"No hay personas presentes",2
63571203,1,"Hay personas presentes",395
63571204,1,"Hay personas presentes",358
63571204,2,"No hay personas presentes",9
63571205,1,"Hay personas presentes",328
63571205,2,"No hay personas presentes",4
63571206,1,"Hay personas presentes",211
63571206,2,"No hay personas presentes",28
63571207,1,"Hay personas presentes",266
63571207,2,"No hay personas presentes",12
63571208,1,"Hay personas presentes",309
63571208,2,"No hay personas presentes",4
63571209,1,"Hay personas presentes",240
63571209,2,"No hay personas presentes",4
63571210,1,"Hay personas presentes",167
63571210,2,"No hay personas presentes",35
63571301,1,"Hay personas presentes",285
63571301,2,"No hay personas presentes",12
63571302,1,"Hay personas presentes",326
63571302,2,"No hay personas presentes",17
63571303,1,"Hay personas presentes",461
63571303,2,"No hay personas presentes",16
63571304,1,"Hay personas presentes",261
63571304,2,"No hay personas presentes",13
63571305,1,"Hay personas presentes",297
63571305,2,"No hay personas presentes",9
63571306,1,"Hay personas presentes",432
63571306,2,"No hay personas presentes",2
63571307,1,"Hay personas presentes",366
63571307,2,"No hay personas presentes",28
63571308,1,"Hay personas presentes",281
63571308,2,"No hay personas presentes",2
63571309,1,"Hay personas presentes",214
63571309,2,"No hay personas presentes",2
63571310,1,"Hay personas presentes",75
63571310,2,"No hay personas presentes",4
63571401,1,"Hay personas presentes",351
63571401,2,"No hay personas presentes",15
63571402,1,"Hay personas presentes",422
63571402,2,"No hay personas presentes",51
63571403,1,"Hay personas presentes",426
63571403,2,"No hay personas presentes",21
63571404,1,"Hay personas presentes",380
63571404,2,"No hay personas presentes",64
63571405,1,"Hay personas presentes",265
63571405,2,"No hay personas presentes",63
63571406,1,"Hay personas presentes",325
63571406,2,"No hay personas presentes",77
63571407,1,"Hay personas presentes",396
63571407,2,"No hay personas presentes",60
63571408,1,"Hay personas presentes",344
63571408,2,"No hay personas presentes",24
63571409,1,"Hay personas presentes",308
63571409,2,"No hay personas presentes",33
63571501,1,"Hay personas presentes",235
63571501,2,"No hay personas presentes",69
63571502,1,"Hay personas presentes",235
63571502,2,"No hay personas presentes",44
63571503,1,"Hay personas presentes",296
63571503,2,"No hay personas presentes",28
63571504,1,"Hay personas presentes",206
63571504,2,"No hay personas presentes",19
63571505,1,"Hay personas presentes",487
63571505,2,"No hay personas presentes",11
63571506,1,"Hay personas presentes",279
63571506,2,"No hay personas presentes",62
63571507,1,"Hay personas presentes",578
63571507,2,"No hay personas presentes",93
63571508,1,"Hay personas presentes",412
63571508,2,"No hay personas presentes",48
63571509,1,"Hay personas presentes",411
63571509,2,"No hay personas presentes",35
63571510,1,"Hay personas presentes",361
63571510,2,"No hay personas presentes",55
63571511,1,"Hay personas presentes",176
63571511,2,"No hay personas presentes",19
63571512,1,"Hay personas presentes",181
63571512,2,"No hay personas presentes",15
63571513,1,"Hay personas presentes",206
63571513,2,"No hay personas presentes",24
63571514,1,"Hay personas presentes",82
63571514,2,"No hay personas presentes",21
63571601,1,"Hay personas presentes",385
63571601,2,"No hay personas presentes",118
63571602,1,"Hay personas presentes",289
63571602,2,"No hay personas presentes",58
63571603,1,"Hay personas presentes",367
63571603,2,"No hay personas presentes",115
63571604,1,"Hay personas presentes",267
63571604,2,"No hay personas presentes",67
63571605,1,"Hay personas presentes",264
63571605,2,"No hay personas presentes",38
63571606,1,"Hay personas presentes",267
63571606,2,"No hay personas presentes",46
63571607,1,"Hay personas presentes",208
63571607,2,"No hay personas presentes",48
63571608,1,"Hay personas presentes",266
63571608,2,"No hay personas presentes",75
63571609,1,"Hay personas presentes",163
63571609,2,"No hay personas presentes",77
63571610,1,"Hay personas presentes",198
63571610,2,"No hay personas presentes",70
63571611,1,"Hay personas presentes",265
63571611,2,"No hay personas presentes",37
63571612,1,"Hay personas presentes",199
63571612,2,"No hay personas presentes",29
63571613,1,"Hay personas presentes",239
63571613,2,"No hay personas presentes",60
63571614,1,"Hay personas presentes",153
63571614,2,"No hay personas presentes",25
63571701,1,"Hay personas presentes",358
63571701,2,"No hay personas presentes",51
63571702,1,"Hay personas presentes",188
63571702,2,"No hay personas presentes",17
63571703,1,"Hay personas presentes",237
63571703,2,"No hay personas presentes",25
63571704,1,"Hay personas presentes",209
63571704,2,"No hay personas presentes",69
63571705,1,"Hay personas presentes",383
63571705,2,"No hay personas presentes",31
63571706,1,"Hay personas presentes",233
63571706,2,"No hay personas presentes",50
63571707,1,"Hay personas presentes",234
63571707,2,"No hay personas presentes",50
63571708,1,"Hay personas presentes",176
63571708,2,"No hay personas presentes",51
63571709,1,"Hay personas presentes",409
63571709,2,"No hay personas presentes",78
63571710,1,"Hay personas presentes",335
63571710,2,"No hay personas presentes",50
63571711,1,"Hay personas presentes",204
63571711,2,"No hay personas presentes",38
63571712,1,"Hay personas presentes",231
63571712,2,"No hay personas presentes",24
63571801,1,"Hay personas presentes",280
63571801,2,"No hay personas presentes",72
63571802,1,"Hay personas presentes",315
63571802,2,"No hay personas presentes",99
63571803,1,"Hay personas presentes",175
63571803,2,"No hay personas presentes",39
63571804,1,"Hay personas presentes",164
63571804,2,"No hay personas presentes",61
63571805,1,"Hay personas presentes",187
63571805,2,"No hay personas presentes",72
63571806,1,"Hay personas presentes",201
63571806,2,"No hay personas presentes",85
63571807,1,"Hay personas presentes",132
63571807,2,"No hay personas presentes",38
63571808,1,"Hay personas presentes",266
63571808,2,"No hay personas presentes",111
63571809,1,"Hay personas presentes",289
63571809,2,"No hay personas presentes",73
63571810,1,"Hay personas presentes",160
63571810,2,"No hay personas presentes",80
63571811,1,"Hay personas presentes",133
63571811,2,"No hay personas presentes",276
63571812,1,"Hay personas presentes",168
63571812,2,"No hay personas presentes",204
63571813,1,"Hay personas presentes",174
63571813,2,"No hay personas presentes",69
63571814,1,"Hay personas presentes",165
63571814,2,"No hay personas presentes",122
63571815,1,"Hay personas presentes",118
63571815,2,"No hay personas presentes",141
63571901,1,"Hay personas presentes",342
63571901,2,"No hay personas presentes",80
63571902,1,"Hay personas presentes",235
63571902,2,"No hay personas presentes",112
63571903,1,"Hay personas presentes",228
63571903,2,"No hay personas presentes",247
63571904,1,"Hay personas presentes",219
63571904,2,"No hay personas presentes",246
63571905,1,"Hay personas presentes",196
63571905,2,"No hay personas presentes",371
63571906,1,"Hay personas presentes",175
63571906,2,"No hay personas presentes",164
63571907,1,"Hay personas presentes",319
63571907,2,"No hay personas presentes",89
63571908,1,"Hay personas presentes",155
63571908,2,"No hay personas presentes",90
63571909,1,"Hay personas presentes",148
63571909,2,"No hay personas presentes",86
63571910,1,"Hay personas presentes",162
63571910,2,"No hay personas presentes",144
63571911,1,"Hay personas presentes",125
63571911,2,"No hay personas presentes",152
63571912,1,"Hay personas presentes",139
63571912,2,"No hay personas presentes",111
63571913,1,"Hay personas presentes",130
63571913,2,"No hay personas presentes",104
63572001,1,"Hay personas presentes",273
63572001,2,"No hay personas presentes",208
63572002,1,"Hay personas presentes",418
63572002,2,"No hay personas presentes",307
63572003,1,"Hay personas presentes",218
63572003,2,"No hay personas presentes",167
63572004,1,"Hay personas presentes",192
63572004,2,"No hay personas presentes",179
63572005,1,"Hay personas presentes",133
63572005,2,"No hay personas presentes",110
63572006,1,"Hay personas presentes",149
63572006,2,"No hay personas presentes",205
63572007,1,"Hay personas presentes",240
63572007,2,"No hay personas presentes",208
63572008,1,"Hay personas presentes",48
63572008,2,"No hay personas presentes",112
63572009,1,"Hay personas presentes",130
63572009,2,"No hay personas presentes",199
63572101,1,"Hay personas presentes",154
63572101,2,"No hay personas presentes",74
63572102,1,"Hay personas presentes",223
63572102,2,"No hay personas presentes",191
63572103,1,"Hay personas presentes",228
63572103,2,"No hay personas presentes",18
63572104,1,"Hay personas presentes",199
63572104,2,"No hay personas presentes",27
63572105,1,"Hay personas presentes",172
63572105,2,"No hay personas presentes",67
63572106,1,"Hay personas presentes",204
63572106,2,"No hay personas presentes",174
63572107,1,"Hay personas presentes",231
63572107,2,"No hay personas presentes",134
63572108,1,"Hay personas presentes",246
63572108,2,"No hay personas presentes",33
63572109,1,"Hay personas presentes",126
63572109,2,"No hay personas presentes",114
63572110,1,"Hay personas presentes",158
63572110,2,"No hay personas presentes",78
63572111,1,"Hay personas presentes",89
63572111,2,"No hay personas presentes",67
63572201,1,"Hay personas presentes",240
63572201,2,"No hay personas presentes",131
63572202,1,"Hay personas presentes",151
63572202,2,"No hay personas presentes",113
63572203,1,"Hay personas presentes",180
63572203,2,"No hay personas presentes",149
63572204,1,"Hay personas presentes",216
63572204,2,"No hay personas presentes",220
63572205,1,"Hay personas presentes",259
63572205,2,"No hay personas presentes",137
63572206,1,"Hay personas presentes",156
63572206,2,"No hay personas presentes",78
63572207,1,"Hay personas presentes",265
63572207,2,"No hay personas presentes",89
63572208,1,"Hay personas presentes",240
63572208,2,"No hay personas presentes",145
63572209,1,"Hay personas presentes",268
63572209,2,"No hay personas presentes",129
63572210,1,"Hay personas presentes",220
63572210,2,"No hay personas presentes",110
63572211,1,"Hay personas presentes",165
63572211,2,"No hay personas presentes",191
63572212,1,"Hay personas presentes",224
63572212,2,"No hay personas presentes",199
63572213,1,"Hay personas presentes",184
63572213,2,"No hay personas presentes",153
63572214,1,"Hay personas presentes",206
63572214,2,"No hay personas presentes",193
63572215,1,"Hay personas presentes",78
63572215,2,"No hay personas presentes",102
63572216,1,"Hay personas presentes",154
63572216,2,"No hay personas presentes",109
63572301,1,"Hay personas presentes",105
63572301,2,"No hay personas presentes",86
63572302,1,"Hay personas presentes",52
63572302,2,"No hay personas presentes",9
63572303,1,"Hay personas presentes",185
63572303,2,"No hay personas presentes",251
63572304,1,"Hay personas presentes",153
63572304,2,"No hay personas presentes",129
63572305,1,"Hay personas presentes",225
63572305,2,"No hay personas presentes",249
63572306,1,"Hay personas presentes",134
63572306,2,"No hay personas presentes",145
63572307,1,"Hay personas presentes",11
63572307,2,"No hay personas presentes",219
63572308,1,"Hay personas presentes",161
63572308,2,"No hay personas presentes",346
63572309,1,"Hay personas presentes",209
63572309,2,"No hay personas presentes",514
63572310,1,"Hay personas presentes",73
63572310,2,"No hay personas presentes",255
63572311,1,"Hay personas presentes",125
63572311,2,"No hay personas presentes",114
63572401,1,"Hay personas presentes",77
63572401,2,"No hay personas presentes",242
63572402,1,"Hay personas presentes",90
63572402,2,"No hay personas presentes",246
63572403,1,"Hay personas presentes",240
63572403,2,"No hay personas presentes",525
63572404,1,"Hay personas presentes",151
63572404,2,"No hay personas presentes",352
63572405,1,"Hay personas presentes",268
63572405,2,"No hay personas presentes",385
63572501,1,"Hay personas presentes",736
63572501,2,"No hay personas presentes",356
63572502,1,"Hay personas presentes",288
63572502,2,"No hay personas presentes",830
63572503,1,"Hay personas presentes",190
63572503,2,"No hay personas presentes",582
63572601,1,"Hay personas presentes",287
63572601,2,"No hay personas presentes",282
63572602,1,"Hay personas presentes",335
63572602,2,"No hay personas presentes",402
63572603,1,"Hay personas presentes",394
63572603,2,"No hay personas presentes",508
63572604,1,"Hay personas presentes",269
63572604,2,"No hay personas presentes",509
63572701,1,"Hay personas presentes",179
63572701,2,"No hay personas presentes",216
63572702,1,"Hay personas presentes",188
63572702,2,"No hay personas presentes",296
63572703,1,"Hay personas presentes",256
63572703,2,"No hay personas presentes",308
63572704,1,"Hay personas presentes",178
63572704,2,"No hay personas presentes",328
63572705,1,"Hay personas presentes",282
63572705,2,"No hay personas presentes",549
63572801,1,"Hay personas presentes",290
63572801,2,"No hay personas presentes",605
63572802,1,"Hay personas presentes",211
63572802,2,"No hay personas presentes",561
63572803,1,"Hay personas presentes",181
63572803,2,"No hay personas presentes",278
63572804,1,"Hay personas presentes",137
63572804,2,"No hay personas presentes",221
63572805,1,"Hay personas presentes",244
63572805,2,"No hay personas presentes",401
63572806,1,"Hay personas presentes",193
63572806,2,"No hay personas presentes",372
63572901,1,"Hay personas presentes",213
63572901,2,"No hay personas presentes",220
63572902,1,"Hay personas presentes",139
63572902,2,"No hay personas presentes",155
63572903,1,"Hay personas presentes",159
63572903,2,"No hay personas presentes",164
63572904,1,"Hay personas presentes",211
63572904,2,"No hay personas presentes",244
63572905,1,"Hay personas presentes",100
63572905,2,"No hay personas presentes",37
63572906,1,"Hay personas presentes",267
63572906,2,"No hay personas presentes",390
63573001,1,"Hay personas presentes",172
63573001,2,"No hay personas presentes",262
63573002,1,"Hay personas presentes",235
63573002,2,"No hay personas presentes",137
63573003,1,"Hay personas presentes",108
63573003,2,"No hay personas presentes",50
63573004,1,"Hay personas presentes",221
63573004,2,"No hay personas presentes",154
63573005,1,"Hay personas presentes",232
63573005,2,"No hay personas presentes",101
63573006,1,"Hay personas presentes",269
63573006,2,"No hay personas presentes",120
63573007,1,"Hay personas presentes",146
63573007,2,"No hay personas presentes",131
63573008,1,"Hay personas presentes",128
63573008,2,"No hay personas presentes",88
63573009,1,"Hay personas presentes",219
63573009,2,"No hay personas presentes",146
63573010,1,"Hay personas presentes",190
63573010,2,"No hay personas presentes",217
63573011,1,"Hay personas presentes",253
63573011,2,"No hay personas presentes",254
63573101,1,"Hay personas presentes",283
63573101,2,"No hay personas presentes",212
63573102,1,"Hay personas presentes",273
63573102,2,"No hay personas presentes",165
63573103,1,"Hay personas presentes",207
63573103,2,"No hay personas presentes",105
63573104,1,"Hay personas presentes",156
63573104,2,"No hay personas presentes",68
63573105,1,"Hay personas presentes",263
63573105,2,"No hay personas presentes",179
63573106,1,"Hay personas presentes",216
63573106,2,"No hay personas presentes",170
63573107,1,"Hay personas presentes",368
63573107,2,"No hay personas presentes",307
63573108,1,"Hay personas presentes",67
63573108,2,"No hay personas presentes",60
63573109,1,"Hay personas presentes",324
63573109,2,"No hay personas presentes",294
63573110,1,"Hay personas presentes",305
63573110,2,"No hay personas presentes",280
63573201,1,"Hay personas presentes",279
63573201,2,"No hay personas presentes",25
63573202,1,"Hay personas presentes",284
63573202,2,"No hay personas presentes",125
63573203,1,"Hay personas presentes",337
63573203,2,"No hay personas presentes",147
63573204,1,"Hay personas presentes",185
63573204,2,"No hay personas presentes",100
63573205,1,"Hay personas presentes",151
63573205,2,"No hay personas presentes",70
63573206,1,"Hay personas presentes",231
63573206,2,"No hay personas presentes",88
63573207,1,"Hay personas presentes",197
63573207,2,"No hay personas presentes",76
63573208,1,"Hay personas presentes",144
63573208,2,"No hay personas presentes",67
63573209,1,"Hay personas presentes",311
63573209,2,"No hay personas presentes",107
63573210,1,"Hay personas presentes",322
63573210,2,"No hay personas presentes",61
63573211,1,"Hay personas presentes",158
63573211,2,"No hay personas presentes",39
63573212,1,"Hay personas presentes",95
63573212,2,"No hay personas presentes",129
63573301,1,"Hay personas presentes",306
63573301,2,"No hay personas presentes",107
63573302,1,"Hay personas presentes",207
63573302,2,"No hay personas presentes",28
63573303,1,"Hay personas presentes",336
63573303,2,"No hay personas presentes",114
63573304,1,"Hay personas presentes",211
63573304,2,"No hay personas presentes",66
63573305,1,"Hay personas presentes",302
63573305,2,"No hay personas presentes",51
63573306,1,"Hay personas presentes",300
63573306,2,"No hay personas presentes",161
63573307,1,"Hay personas presentes",100
63573307,2,"No hay personas presentes",66
63573308,1,"Hay personas presentes",240
63573308,2,"No hay personas presentes",85
63573309,1,"Hay personas presentes",291
63573309,2,"No hay personas presentes",98
